yearsage,yearsed,pc_in,pc_vo,pc_co,pc_si,pc_pc,pc_pa,pc_bd,pc_oa
18.5,10,13.79310345,21.42857143,37.5,46.42857143,60,35,25.49019608,80.48780488
18.5,14,75.86206897,84.28571429,81.25,85.71428571,60,70,52.94117647,73.17073171
18.5,12,37.93103448,28.57142857,59.375,53.57142857,90,85,74.50980392,87.80487805
18.5,14,82.75862069,82.85714286,75,75,95,80,62.74509804,80.48780488
18.5,10,37.93103448,45.71428571,62.5,57.14285714,65,95,56.8627451,73.17073171
18.5,12,44.82758621,54.28571429,50,57.14285714,85,80,54.90196078,80.48780488
18.5,8,34.48275862,28.57142857,25,25,5,10,23.52941177,26.82926829
18.5,3,10.34482759,12.85714286,12.5,0,55,15,25.49019608,75.6097561
18.5,10,72.4137931,64.28571429,46.875,71.42857143,95,100,0,65.85365854
18.5,10,48.27586207,50,65.625,82.14285714,60,65,68.62745098,48.78048781
18.5,10,51.72413793,45.71428571,65.625,71.42857143,90,100,66.66666667,82.92682927
18.5,12,20.68965517,34.28571429,37.5,42.85714286,80,60,62.74509804,92.68292683
18.5,3,20.68965517,27.14285714,46.875,78.57142857,80,65,66.66666667,85.36585366
18.5,10,51.72413793,65.71428571,59.375,42.85714286,70,55,41.17647059,56.09756098
18.5,10,17.24137931,22.85714286,31.25,28.57142857,65,60,41.17647059,73.17073171
18.5,10,17.24137931,21.42857143,59.375,21.42857143,80,35,33.33333333,70.73170732
18.5,10,20.68965517,24.28571429,50,42.85714286,80,70,37.25490196,80.48780488
18.5,10,17.24137931,40,50,78.57142857,85,65,76.47058824,90.24390244
18.5,14,51.72413793,50,65.625,92.85714286,70,55,35.29411765,78.04878049
18.5,12,62.06896552,75.71428571,84.375,64.28571429,85,80,41.17647059,75.6097561
18.5,14,75.86206897,62.85714286,78.125,78.57142857,90,50,76.47058824,78.04878049
18.5,10,34.48275862,35.71428571,37.5,39.28571429,75,50,41.17647059,73.17073171
18.5,12,58.62068966,72.85714286,65.625,60.71428571,80,80,56.8627451,58.53658537
18.5,10,68.96551724,71.42857143,62.5,67.85714286,85,85,64.70588235,78.04878049
18.5,12,55.17241379,30,62.5,64.28571429,85,70,50.98039216,78.04878049
18.5,12,72.4137931,61.42857143,43.75,71.42857143,85,75,72.54901961,92.68292683
18.5,14,58.62068966,41.42857143,21.875,25,70,45,37.25490196,75.6097561
18.5,10,58.62068966,62.85714286,65.625,64.28571429,70,75,33.33333333,39.02439024
18.5,12,58.62068966,51.42857143,65.625,71.42857143,75,75,49.01960784,75.6097561
18.5,12,44.82758621,17.14285714,12.5,42.85714286,50,10,27.45098039,51.2195122
18.5,12,37.93103448,27.14285714,46.875,42.85714286,70,55,56.8627451,58.53658537
18.5,10,20.68965517,15.71428571,25,25,70,45,7.843137255,53.65853659
18.5,10,24.13793103,22.85714286,50,32.14285714,50,35,37.25490196,68.29268293
18.5,12,48.27586207,74.28571429,62.5,71.42857143,40,60,56.8627451,92.68292683
18.5,10,6.896551724,4.285714286,9.375,0,25,10,15.68627451,56.09756098
18.5,12,34.48275862,25.71428571,31.25,67.85714286,65,50,39.21568628,68.29268293
18.5,3,13.79310345,15.71428571,15.625,14.28571429,15,10,25.49019608,17.07317073
22,12,86.20689655,70,78.125,85.71428571,80,85,60.78431373,75.6097561
22,14,55.17241379,75.71428571,71.875,64.28571429,65,50,39.21568628,65.85365854
22,16,31.03448276,50,43.75,39.28571429,70,75,76.47058824,78.04878049
22,16,93.10344828,90,93.75,71.42857143,75,100,94.11764706,80.48780488
22,12,62.06896552,68.57142857,50,64.28571429,85,85,88.23529412,82.92682927
22,16,93.10344828,90,78.125,85.71428571,85,90,90.19607843,92.68292683
22,16,86.20689655,70,81.25,71.42857143,95,85,56.8627451,39.02439024
22,16,96.55172414,84.28571429,68.75,82.14285714,75,85,84.31372549,87.80487805
22,14,48.27586207,61.42857143,65.625,78.57142857,90,60,88.23529412,97.56097561
22,16,82.75862069,91.42857143,78.125,75,75,90,62.74509804,85.36585366
22,16,86.20689655,85.71428571,71.875,75,80,70,80.39215686,92.68292683
22,10,37.93103448,58.57142857,56.25,67.85714286,85,95,64.70588235,73.17073171
22,14,27.5862069,47.14285714,37.5,57.14285714,75,85,47.05882353,63.41463415
22,12,75.86206897,62.85714286,75,57.14285714,80,90,78.43137255,80.48780488
22,12,65.51724138,74.28571429,75,82.14285714,90,75,82.35294118,82.92682927
22,12,82.75862069,62.85714286,59.375,71.42857143,80,70,58.82352941,78.04878049
22,12,79.31034483,75.71428571,62.5,85.71428571,90,70,76.47058824,87.80487805
22,12,31.03448276,24.28571429,43.75,50,85,40,72.54901961,65.85365854
22,12,79.31034483,91.42857143,78.125,71.42857143,85,70,94.11764706,85.36585366
22,12,75.86206897,74.28571429,68.75,64.28571429,100,80,66.66666667,97.56097561
22,14,55.17241379,67.14285714,75,78.57142857,85,50,86.2745098,80.48780488
22,12,44.82758621,70,71.875,78.57142857,70,65,76.47058824,85.36585366
22,14,93.10344828,84.28571429,93.75,92.85714286,85,90,78.43137255,63.41463415
22,14,75.86206897,74.28571429,78.125,89.28571429,90,75,47.05882353,90.24390244
22,12,89.65517241,77.14285714,75,82.14285714,90,95,90.19607843,85.36585366
22,14,75.86206897,84.28571429,81.25,92.85714286,95,75,92.15686275,90.24390244
